Order No,Order Date,Line No,Ship To Address No,Item Code,Order Qty,Quantity Shipped
529106,1/4/2019,2,2246978,1039306,1,1
529106,1/4/2019,3,2246978,10105916,1,1
529106,1/4/2019,4,2246978,1040827,1,1
529109,1/4/2019,1,1803960,1041107,1,1
529111,1/4/2019,1,1803960,1029069,1,1
529114,1/4/2019,1,43824056,10105916,1,1
529114,1/4/2019,2,43824056,1038323,2,2
529116,1/4/2019,1,1623353,1038323,1,1
529117,1/4/2019,1,1604938,1038323,1,1
529117,1/4/2019,2,1604938,1038324,1,1
529118,1/4/2019,1,1464986,1038323,1,1
529119,1/4/2019,1,2246978,1038324,1,1
529119,1/4/2019,2,2246978,1038323,1,1
529122,1/4/2019,1,1665188,1038323,1,1
529123,1/4/2019,1,1254695,1038324,1,1
529123,1/4/2019,2,1254695,1038323,2,2
529123,1/4/2019,3,1254695,1041108,1,1
529125,1/4/2019,1,1265792,1040992,1,1
529127,1/4/2019,1,2254513,10106230,7,7
529127,1/4/2019,2,2254513,1040765,11,11
529127,1/4/2019,3,2254513,1039305,5,5
529127,1/4/2019,4,2254513,1038323,5,5
529127,1/4/2019,5,2254513,1038324,8,8
529129,1/4/2019,1,2252839,10098739,2,2
